Mission,Spacecraft,Launch Date,Carrier Rocket,Operator,Mission Type,Outcome
Pioneer 0 (Able I),Pioneer 0,17-Aug-58,Thor DM-18 Able I,United States USAF,Orbiter,Launch failure
Luna E-1 No.1,Luna E-1 No.1,23-Sep-58,Luna,Soviet Union OKB-1,Impactor,Launch failure
Pioneer 1 (Able II),Pioneer 1,11-Oct-58,Thor DM-18 Able I,United States NASA,Orbiter,Launch failure
Luna E-1 No.2,Luna E-1 No.2,11-Oct-58,Luna,Soviet Union OKB-1,Impactor,Launch failure
Pioneer 2 (Able III),Pioneer 2,8-Nov-58,Thor DM-18 Able I,United States NASA,Orbiter,Launch failure
Luna E-1 No.3,Luna E-1 No.3,4-Dec-58,Luna,Soviet Union OKB-1,Impactor,Launch failure
Pioneer 3,Pioneer 3,6-Dec-58,Juno II,United States NASA,Flyby,Launch failure
Luna 1 (E-1 No.4),Luna 1,2-Jan-59,Luna,Soviet Union OKB-1,Impactor,Partial failure
Pioneer 4,Pioneer 4,3-Mar-59,Juno II,United States NASA,Flyby,Partial failure
E-1A No.1,E-1A No.1,18-Jun-59,Luna,Soviet Union OKB-1,Impactor,Launch failure
Luna 2 (E-1A No.2),Luna 2,12-Sep-59,Luna,Soviet Union OKB-1,Impactor,Successful
Luna 3 (E-2A No.1),Luna 3,4-Oct-59,Luna,Soviet Union OKB-1,Flyby,Successful
Pioneer P-3 (Able IVB),Pioneer P-3,26-Nov-59,Atlas-D Able,United States NASA,Orbiter,Launch failure
Luna E-3 No.1,Luna E-3 No.1,15-Apr-60,Luna,Soviet Union OKB-1,Flyby,Launch failure
Luna E-3 No.2,Luna E-3 No.2,16-Apr-60,Luna,Soviet Union OKB-1,Flyby,Launch failure
Pioneer P-30 (Able VA),Pioneer P-30,25-Sep-60,Atlas-D Able,United States NASA,Orbiter,Launch failure
Pioneer P-31 (Able VB),Pioneer P-31,15-Dec-60,Atlas-D Able,United States NASA,Orbiter,Launch failure
Ranger 3 (P-34),Ranger 3,26-Jan-62,Atlas LV-3 Agena-B,United States NASA,Impactor,Spacecraft failure
Ranger 4 (P-35),Ranger 4,23-Apr-62,Atlas LV-3 Agena-B,United States NASA,Impactor,Spacecraft failure
Ranger 5 (P-36),Ranger 5,18-Oct-62,Atlas LV-3 Agena-B,United States NASA,Impactor,Spacecraft failure
Luna E-6 No.2,Luna E-6 No.2,4-Jan-63,Molniya-L,Soviet Union OKB-1,Lander,Launch failure
Luna E-6 No.3,Luna E-6 No.3,3-Feb-63,Molniya-L,Soviet Union OKB-1,Lander,Launch failure
Luna 4 (E-6 No.4),Luna 4,2-Apr-63,Molniya-L,Soviet Union OKB-1,Lander,Spacecraft failure
Luna E-6 No.6,Luna E-6 No.6,21-Mar-64,Molniya-M,Soviet Union OKB-1,Lander,Launch failure
Luna E-6 No.5,Luna E-6 No.5,20-Apr-64,Molniya-M,Soviet Union OKB-1,Lander,Launch failure
Ranger 7,Ranger 7,28-Jul-64,Atlas LV-3 Agena-B,United States NASA,Impactor,Successful
Ranger 8,Ranger 8,17-Feb-65,Atlas LV-3 Agena-B,United States NASA,Impactor,Successful
Kosmos 60 (E-6 No.9),Kosmos 60,12-Mar-65,Molniya-L,Soviet Union Lavochkin,Lander,Launch failure
Ranger 9,Ranger 9,21-Mar-65,Atlas LV-3 Agena-B,United States NASA,Impactor,Successful
Luna E-6 No.8,Luna E-6 No.8,10-Apr-65,Molniya-L,Soviet Union Lavochkin,Lander,Spacecraft failure
Luna 5 (E-6 No.10),Luna 5,9-May-65,Molniya-M,Soviet Union Lavochkin,Lander,Spacecraft failure
Luna 6 (E-6 No.7),Luna 6,8-Jun-65,Molniya-M,Soviet Union Lavochkin,Lander,Spacecraft failure
Zond 3 (3MV-4 No.3),Zond 3,18-Jul-65,Molniya,Soviet Union Lavochkin,Flyby,Successful
Luna 7 (E-6 No.11),Luna 7,4-Oct-65,Molniya,Soviet Union Lavochkin,Lander,Spacecraft failure
Luna 8 (E-6 No.12),Luna 8,3-Dec-65,Molniya,Soviet Union Lavochkin,Lander,Spacecraft failure
Luna 9 (E-6 No.13),Luna 9,31-Jan-66,Molniya-M,Soviet Union Lavochkin,Lander,Successful
Kosmos 111 (E-6S No.204),Kosmos 111,1-Mar-66,Molniya-M,Soviet Union Lavochkin,Orbiter,Launch failure
Luna 10 (E-6S No.206),Luna 10,31-Mar-66,Molniya-M,Soviet Union Lavochkin,Orbiter,Successful
Surveyor 1,Surveyor 1,30-May-66,Atlas LV-3C Centaur-D,United States NASA,Lander,Successful
Explorer 33 (AIMP-D),Explorer 33,1-Jul-66,Delta E1,United States NASA,Orbiter,Launch failure
Lunar Orbiter 1,Lunar Orbiter 1,10-Aug-66,Atlas SLV-3 Agena-D,United States NASA,Orbiter,Partial failure
Luna 11 (E-6LF No.101),Luna 11,21-Aug-66,Molniya-M,Soviet Union Lavochkin,Orbiter,Partial failure
Surveyor 2,Surveyor 2,20-Sep-66,Atlas LV-3C Centaur-D,United States NASA,Lander,Spacecraft failure
Luna 12 (E-6LF No.102),Luna 12,22-Oct-66,Molniya-M,Soviet Union Lavochkin,Orbiter,Successful
Lunar Orbiter 2,Lunar Orbiter 2,6-Nov-66,Atlas SLV-3 Agena-D,United States NASA,Orbiter,Successful
Luna 13 (E-6M No.205),Luna 13,21-Dec-66,Molniya-M,Soviet Union Lavochkin,Lander,Successful
Lunar Orbiter 3,Lunar Orbiter 3,5-Feb-67,Atlas SLV-3 Agena-D,United States NASA,Orbiter,Successful
Surveyor 3,Surveyor 3,17-Apr-67,Atlas LV-3C Centaur-D,United States NASA,Lander,Successful
Lunar Orbiter 4,Lunar Orbiter 4,4-May-67,Atlas SLV-3 Agena-D,United States NASA,Orbiter,Successful
Surveyor 4,Surveyor 4,14-Jul-67,Atlas LV-3C Centaur-D,United States NASA,Lander,Spacecraft failure
Explorer 35 (AIMP-E),Explorer 35,19-Jul-67,Delta E1,United States NASA,Orbiter,Successful
Lunar Orbiter 5,Lunar Orbiter 5,1-Aug-67,Atlas SLV-3 Agena-D,United States NASA,Orbiter,Successful
Surveyor 5,Surveyor 5,8-Sep-67,Atlas SLV-3C Centaur-D,United States NASA,Lander,Successful
Soyuz 7K-L1 No.4L,Soyuz 7K-L1 No.4L,27-Sep-67,Proton-K/D,Soviet Union Lavochkin,Flyby,Spacecraft failure
Surveyor 6,Surveyor 6,7-Nov-67,Atlas SLV-3C Centaur-D,United States NASA,Lander,Successful
